time,ne
8.716666666666667,2679
8.733333333333334,2664
8.75,2659
8.766666666666667,2645
8.783333333333333,2637
8.8,2629
8.816666666666668,2623
8.833333333333334,2616
8.850000000000001,2604
8.866666666666667,2600
8.883333333333335,2590
8.9,2581
8.916666666666668,2566
8.933333333333334,2555
8.950000000000001,2548
8.966666666666667,2541
8.983333333333334,2532
9.0,2522
9.016666666666667,2511
9.033333333333333,2504
9.05,2498
9.066666666666668,2491
9.083333333333334,2485
9.100000000000001,2476
9.116666666666667,2464
9.133333333333335,2456
9.15,2435
9.166666666666668,2428
9.183333333333334,2422
9.200000000000001,2413
9.216666666666667,2404
9.233333333333334,2399
9.25,2386
9.266666666666667,2371
9.283333333333333,2356
9.3,2346
9.316666666666668,2339
9.333333333333334,2323
9.350000000000001,2314
9.366666666666667,2308
9.383333333333335,2300
9.4,2293
9.416666666666668,2285
9.433333333333334,2275
9.450000000000001,2264
9.466666666666667,2259
9.483333333333334,2254
9.5,2247
9.516666666666667,2234
9.533333333333333,2229
9.55,2221
9.566666666666668,2213
9.583333333333334,2205
9.600000000000001,2198
9.616666666666667,2189
9.633333333333335,2178
9.65,2170
9.666666666666668,2159
9.683333333333334,2151
9.700000000000001,2147
9.716666666666667,2140
9.733333333333334,2131
9.75,2115
9.766666666666667,2112
9.783333333333333,2101
9.8,2098
9.816666666666668,2093
9.833333333333334,2086
9.850000000000001,2077
9.866666666666667,2070
9.883333333333335,2059
9.9,2046
9.916666666666668,2035
9.933333333333334,2027
9.950000000000001,2015
9.966666666666667,2002
9.983333333333334,1995
10.0,1983
10.016666666666667,1976
10.033333333333333,1967
10.05,1962
10.066666666666668,1957
10.083333333333334,1949
10.100000000000001,1944
10.116666666666667,1936
10.133333333333335,1930
10.15,1926
10.166666666666668,1915
10.183333333333334,1907
10.200000000000001,1897
10.216666666666667,1890
10.233333333333334,1882
10.25,1872
10.266666666666667,1869
10.283333333333333,1860
10.3,1854
10.316666666666668,1849
10.333333333333334,1845
10.350000000000001,1835
10.366666666666667,1828
10.383333333333335,1818
10.4,1806
10.416666666666668,1798
10.433333333333334,1783
10.450000000000001,1779
10.466666666666667,1768
10.483333333333334,1762
10.5,1753
10.516666666666667,1751
10.533333333333333,1740
10.55,1736
10.566666666666668,1726
10.583333333333334,1718
10.600000000000001,1714
10.616666666666667,1706
10.633333333333335,1695
10.65,1689
10.666666666666668,1683
10.683333333333334,1678
10.700000000000001,1666
10.716666666666667,1660
10.733333333333334,1649
10.75,1643
10.766666666666667,1634
10.783333333333333,1626
10.8,1613
10.816666666666668,1599
10.833333333333334,1593
10.850000000000001,1585
10.866666666666667,1582
10.883333333333335,1576
10.9,1570
10.916666666666668,1563
10.933333333333334,1552
10.950000000000001,1546
10.966666666666667,1536
10.983333333333334,1528
11.0,1521
11.016666666666667,1514
11.033333333333333,1506
11.05,1501
11.066666666666668,1495
11.083333333333334,1483
11.100000000000001,1480
11.116666666666667,1475
11.133333333333335,1476
11.15,1475
11.166666666666668,1473
11.183333333333334,1462
11.200000000000001,1458
11.216666666666667,1444
11.233333333333334,1436
11.25,1432
11.266666666666667,1422
11.283333333333333,1414
